ModelVersion,ModelName,DatasetSplit,Threshold,PRAUC,Precision,Recall,F2,Alerts,AlertsPer1000,FraudAmountCaptured,FraudAmountMissed,FraudAmountCaptureRate
1.0.0,random_forest,VALIDATION,0.31999999999999995,0.9999971369674759,0.9966216216216216,1.0,0.9993224932249323,1184,6.194185626768927,1497276961.7337646,0.0,1.0
1.0.0,random_forest,TEST,0.31999999999999995,0.9999987261211408,0.9992012779552716,0.9992012779552716,0.9992012779552716,1252,13.99414302640109,2129729633.397049,399045.09375,0.9998126662028546
